image_id,item_id,file_path,category,subcategory,source_type,width,height,is_valid,is_duplicate,notes
img_000001,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000001.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000006,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000006.jpg,blouse,Blouse,deepfashion,246,300,yes,pending,split=val
img_000008,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000008.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000011,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000011.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000012,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000012.jpg,blouse,Blouse,deepfashion,258,300,yes,pending,split=train
img_000013,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000013.jpg,blouse,Blouse,deepfashion,234,300,yes,pending,split=test
img_000014,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000014.jpg,blouse,Blouse,deepfashion,243,300,yes,pending,split=train
img_000015,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000015.jpg,blouse,Blouse,deepfashion,226,300,yes,pending,split=val
img_000018,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000018.jpg,blouse,Blouse,deepfashion,257,300,yes,pending,split=train
img_000019,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000019.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=test
img_000022,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000022.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000023,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000023.jpg,blouse,Blouse,deepfashion,250,300,yes,pending,split=train
img_000027,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000027.jpg,blouse,Blouse,deepfashion,278,300,yes,pending,split=val
img_000028,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000028.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000030,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000030.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000032,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000032.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000033,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000033.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000034,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000034.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000038,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000038.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000039,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000039.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000041,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000041.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000042,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000042.jpg,blouse,Blouse,deepfashion,246,300,yes,pending,split=train
img_000043,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000043.jpg,blouse,Blouse,deepfashion,245,277,yes,pending,split=train
img_000045,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000045.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=val
img_000047,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000047.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000048,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000048.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000051,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000051.jpg,blouse,Blouse,deepfashion,236,300,yes,pending,split=val
img_000056,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000056.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=val
img_000059,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000059.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000063,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000063.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000066,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000066.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000067,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000067.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000068,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000068.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000069,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000069.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000071,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000071.jpg,blouse,Blouse,deepfashion,241,300,yes,pending,split=train
img_000072,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000072.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=test
img_000074,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000074.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000076,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000076.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=test
img_000077,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000077.jpg,blouse,Blouse,deepfashion,236,291,yes,pending,split=train
img_000079,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000079.jpg,blouse,Blouse,deepfashion,230,300,yes,pending,split=train
img_000082,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000082.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000083,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000083.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000084,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000084.jpg,blouse,Blouse,deepfashion,228,300,yes,pending,split=train
img_000085,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000085.jpg,blouse,Blouse,deepfashion,301,301,yes,pending,split=test
img_000086,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000086.jpg,blouse,Blouse,deepfashion,263,300,yes,pending,split=train
img_000089,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000089.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000092,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000092.jpg,blouse,Blouse,deepfashion,242,286,yes,pending,split=train
img_000093,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000093.jpg,blouse,Blouse,deepfashion,235,300,yes,pending,split=train
img_000094,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000094.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000095,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000095.jpg,blouse,Blouse,deepfashion,300,239,yes,pending,split=train
img_000096,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000096.jpg,blouse,Blouse,deepfashion,290,300,yes,pending,split=test
img_000099,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000099.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=val
img_000100,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000100.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000104,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000104.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000105,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000105.jpg,blouse,Blouse,deepfashion,235,300,yes,pending,split=train
img_000106,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000106.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000107,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000107.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000109,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000109.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000111,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000111.jpg,blouse,Blouse,deepfashion,250,300,yes,pending,split=test
img_000114,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000114.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000115,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000115.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000116,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000116.jpg,blouse,Blouse,deepfashion,300,225,yes,pending,split=train
img_000119,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000119.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000123,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000123.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000124,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000124.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=test
img_000127,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000127.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000128,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000128.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000130,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000130.jpg,blouse,Blouse,deepfashion,236,245,yes,pending,split=train
img_000132,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000132.jpg,blouse,Blouse,deepfashion,234,300,yes,pending,split=train
img_000134,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000134.jpg,blouse,Blouse,deepfashion,258,300,yes,pending,split=val
img_000136,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000136.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=test
img_000137,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000137.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000138,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000138.jpg,blouse,Blouse,deepfashion,231,300,yes,pending,split=train
img_000140,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000140.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000141,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000141.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000144,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000144.jpg,blouse,Blouse,deepfashion,257,300,yes,pending,split=val
img_000146,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000146.jpg,blouse,Blouse,deepfashion,230,300,yes,pending,split=val
img_000147,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000147.jpg,blouse,Blouse,deepfashion,228,300,yes,pending,split=test
img_000148,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000148.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000149,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000149.jpg,blouse,Blouse,deepfashion,251,300,yes,pending,split=train
img_000151,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000002.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=val
img_000153,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000004.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000155,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000006.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=test
img_000158,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000009.jpg,blouse,Blouse,deepfashion,244,301,yes,pending,split=train
img_000161,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000012.jpg,blouse,Blouse,deepfashion,244,301,yes,pending,split=test
img_000162,Sheer_Woven_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Woven_Blouse\img_00000013.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
