image_id,item_id,file_path,category,subcategory,source_type,width,height,is_valid,is_duplicate,notes
img_000001,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000001.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000008,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000008.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000011,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000011.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000012,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000012.jpg,blouse,Blouse,deepfashion,258,300,yes,pending,split=train
img_000014,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000014.jpg,blouse,Blouse,deepfashion,243,300,yes,pending,split=train
img_000018,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000018.jpg,blouse,Blouse,deepfashion,257,300,yes,pending,split=train
img_000022,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000022.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000023,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000023.jpg,blouse,Blouse,deepfashion,250,300,yes,pending,split=train
img_000030,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000030.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000032,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000032.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000033,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000033.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000034,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000034.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000038,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000038.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000041,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000041.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000042,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000042.jpg,blouse,Blouse,deepfashion,246,300,yes,pending,split=train
img_000043,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000043.jpg,blouse,Blouse,deepfashion,245,277,yes,pending,split=train
img_000047,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000047.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000048,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000048.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000059,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000059.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
img_000063,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000063.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000066,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000066.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000067,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000067.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000068,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000068.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000069,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000069.jpg,blouse,Blouse,deepfashion,225,300,yes,pending,split=train
img_000071,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000071.jpg,blouse,Blouse,deepfashion,241,300,yes,pending,split=train
img_000074,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000074.jpg,blouse,Blouse,deepfashion,240,300,yes,pending,split=train
img_000077,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000077.jpg,blouse,Blouse,deepfashion,236,291,yes,pending,split=train
img_000079,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000079.jpg,blouse,Blouse,deepfashion,230,300,yes,pending,split=train
img_000082,Sheer_Pleated-Front_Blouse,C:\clothes_ir_dataset\raw\deepfashion\Img\img\img\Sheer_Pleated-Front_Blouse\img_00000082.jpg,blouse,Blouse,deepfashion,300,300,yes,pending,split=train
